Excel Raw Data Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyright (c) 2008 Corbett Life Science, a QIAGEN Company. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,Run 2024-03-29 71C S315T OLAGEN PCR 1.rex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,3/29/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,10:07:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Cycling A.g2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Page 1, Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, PCR NTC, PCR NTC
31,17.79376342,18.70450904,18.13096056,17.97828859,18.5494539,18.74608988,18.46869846,18.69916838,17.86526284,17.98592649,47.12667531,45.61106933,44.64077719,46.44266423,39.77885318,45.60578317,42.85109738,45.97488801,42.05386435,44.87972621,17.53509575,18.23218362,17.93708197,17.19339636,17.77417821,17.64531494,17.28454806,16.12595233,16.96375982,16.78980697,18.32659393,16.59634053
32,17.93523635,18.95819028,18.28739278,17.91638056,18.76625722,18.66992192,18.4290837,18.86707631,17.96119122,18.22319589,60.61524376,59.0655375,58.66941329,58.37218934,52.87469073,58.0233463,59.40248213,59.56622762,52.1919585,58.52674144,17.72762646,18.12433923,18.18488848,17.17108633,18.03049625,17.8081505,17.57861121,16.50439284,17.16970576,17.00113269,18.51036733,16.71656367
33,18.18810014,19.29448822,18.51867595,18.2355121,19.00612904,18.87092775,18.64540576,19.03269539,18.3947509,18.21276163,74.6880293,72.49103532,72.69877601,70.78856445,67.88691891,68.70810581,73.99292999,74.16315485,61.13455914,73.33394369,18.2574197,18.104448,18.21408408,17.89232217,18.15572922,17.58164848,17.66114407,17.22046017,17.08857862,17.17958779,18.55171537,16.76935988
34,18.13182621,19.2052824,18.49676836,18.03260344,18.89473818,18.92478392,18.77359079,19.31932046,18.31998169,18.40218967,88.01978978,85.88951294,87.07736911,82.20128997,82.37013301,79.75585565,88.89194069,88.91497455,67.69348985,88.06062918,18.9314325,18.45311666,17.61888832,18.06424048,18.33231607,17.69043804,18.09943013,18.1294619,17.3184513,17.31640756,18.69820198,16.79418123
35,18.29698416,19.36990412,18.91072382,18.25253681,19.35487035,19.2223621,19.11141629,19.58762493,18.53656443,18.92311996,99.65290213,98.2932784,95.86210539,93.10150519,98.25652959,87.60269867,100,100,75.87341551,99.99308856,20.40142127,19.12661173,17.86669337,18.70767822,18.27104383,17.84390021,18.47562371,19.23387972,17.79001678,17.36547118,18.95272246,17.08155947
36,18.55355372,19.7222858,18.9345388,18.37597056,19.48084112,19.18949162,19.28834269,19.6520943,18.74957402,18.9828772,100,100,100,100,100,96.17354594,100,100,83.05109229,100,22.45269703,19.85310648,17.86392767,19.53122105,18.76335164,17.65504047,19.41341777,20.61423432,18.31739939,17.74115613,19.02566059,16.79302311
37,18.81203428,19.47552562,18.86549172,18.57499809,19.58319395,18.87612217,19.80640116,20.06441487,18.58111442,19.32443224,100,100,100,100,100,100,100,100,87.5329722,100,24.03334096,21.88611683,18.23071641,21.3219008,18.56666921,17.87359661,20.2603744,21.19783322,19.07573925,17.72084709,19.37641464,17.05864746
38,18.91639146,19.68973322,18.88161542,18.65242491,19.60642623,19.15770199,19.66257216,19.6249055,18.62223748,19.0275934,100,100,100,100,100,100,100,100,92.49744411,100,25.57128688,23.70031281,18.15178032,23.61979213,18.69904122,17.7498029,22.45492231,22.3584579,20.95452118,18.0311502,19.34429803,17.24378467
39,18.80043743,19.68137255,18.97905406,18.35990946,20.02500132,19.54887792,19.914729,20.07441708,18.44170173,18.4394789,100,100,100,100,100,100,100,100,96.53009842,100,26.85239076,24.8684418,18.06159559,25.93301289,19.14579995,17.9079881,25.88431482,23.1814107,24.09342336,18.21199476,19.60383764,17.15114061
40,19.21629664,20.02594034,19.07835508,18.80181465,20.02476657,17.81214237,20.13743292,19.8345922,18.63838661,18.8666068,100,100,100,100,100,100,100,100,99.7924773,100,28.32227054,27.19259429,18.37420991,27.6672516,19.46850919,18.04008763,30.78180689,22.69169146,29.01787849,18.59934895,19.85859973,17.30924755
